country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Maharashtra,Mumbai,"Bandra Kurla Complex, Mumbai - MPCB","20-04-2026 21:00:00",19.065931,72.862131,NH3,NA,NA,NA
India,Maharashtra,Mumbai,"Bandra Kurla Complex, Mumbai - MPCB","20-04-2026 21:00:00",19.065931,72.862131,SO2,NA,NA,NA
India,Maharashtra,Mumbai,"Borivali East, Mumbai - IITM","20-04-2026 21:00:00",19.23241,72.86895,NO2,NA,NA,NA
India,Maharashtra,Mumbai,"Borivali East, Mumbai - IITM","20-04-2026 21:00:00",19.23241,72.86895,OZONE,8,78,65
India,Maharashtra,Mumbai,"Borivali East, Mumbai - MPCB","20-04-2026 21:00:00",19.2243333,72.8658113,PM2.5,32,62,47
India,Maharashtra,Mumbai,"Borivali East, Mumbai - MPCB","20-04-2026 21:00:00",19.2243333,72.8658113,CO,10,18,14
India,Maharashtra,Mumbai,"Byculla, Mumbai - BMC","20-04-2026 21:00:00",18.9767,72.8380,NO2,10,48,20
India,Maharashtra,Mumbai,"Ghatkopar, Mumbai - BMC","20-04-2026 21:00:00",19.083694,72.920967,SO2,3,5,4
India,Maharashtra,Mumbai,"Kherwadi_Bandra East, Mumbai - MPCB","20-04-2026 21:00:00",19.0632143,72.8456324,PM10,60,87,75
India,Maharashtra,Mumbai,"Khindipada-Bhandup West, Mumbai - IITM","20-04-2026 21:00:00",19.1653323,72.922099,PM2.5,11,76,37
India,Maharashtra,Mumbai,"Khindipada-Bhandup West, Mumbai - IITM","20-04-2026 21:00:00",19.1653323,72.922099,OZONE,15,75,52
India,Maharashtra,Mumbai,"Malad West, Mumbai - IITM","20-04-2026 21:00:00",19.19709,72.82204,NH3,4,6,4
India,Maharashtra,Mumbai,"Byculla, Mumbai - BMC","20-04-2026 21:00:00",18.9767,72.8380,CO,46,66,49
India,Maharashtra,Mumbai,"Chembur, Mumbai - MPCB","20-04-2026 21:00:00",19.0364585,72.8954371,PM10,52,105,75
India,Maharashtra,Mumbai,"Deonar, Mumbai - IITM","20-04-2026 21:00:00",19.04946,72.9230,NO2,7,33,16
India,Maharashtra,Mumbai,"Deonar, Mumbai - IITM","20-04-2026 21:00:00",19.04946,72.9230,CO,4,95,50
India,Maharashtra,Pimpri-Chinchwad,"Park Street Wakad, Pimpri Chinchwad - MPCB","20-04-2026 21:00:00",18.59051,73.77946,OZONE,7,91,78
India,Maharashtra,Pimpri-Chinchwad,"Savta Mali Nagar, Pimpri-Chinchwad - IITM","20-04-2026 21:00:00",18.614767,73.799516,PM2.5,33,95,68
India,Maharashtra,Pimpri-Chinchwad,"Savta Mali Nagar, Pimpri-Chinchwad - IITM","20-04-2026 21:00:00",18.614767,73.799516,PM10,NA,NA,NA
India,Maharashtra,Pimpri-Chinchwad,"Savta Mali Nagar, Pimpri-Chinchwad - IITM","20-04-2026 21:00:00",18.614767,73.799516,NO2,29,52,42
India,Maharashtra,Pimpri-Chinchwad,"Thergaon, Pimpri Chinchwad - MPCB","20-04-2026 21:00:00",18.616318,73.765797,PM2.5,4,135,77
India,Maharashtra,Pimpri-Chinchwad,"Thergaon, Pimpri Chinchwad - MPCB","20-04-2026 21:00:00",18.616318,73.765797,CO,10,50,22
India,Maharashtra,Pimpri-Chinchwad,"Transport Nagar-Nigdi, Pimpri-Chinchwad- IITM","20-04-2026 21:00:00",18.664282,73.763966,PM2.5,34,85,55
India,Maharashtra,Pune,"Dhankawadi, Pune - IITM","20-04-2026 21:00:00",18.459883,73.852193,PM10,NA,NA,NA
India,Maharashtra,Pune,"Hadapsar, Pune - IITM","20-04-2026 21:00:00",18.501793,73.927532,PM2.5,NA,NA,NA
India,Maharashtra,Solapur,"Ratandeep Housing Society, Solapur - MPCB","20-04-2026 21:00:00",17.65439,75.90649,OZONE,12,141,34
India,Maharashtra,Thane,"Kasarvadavali, Thane - MPCB","20-04-2026 21:00:00",19.26777,72.97182,PM2.5,37,64,49
India,Maharashtra,Thane,"Upvan Fort, Thane - MPCB","20-04-2026 21:00:00",19.222279,72.957979,PM10,19,433,110
India,Maharashtra,Ulhasnagar,"Sidhi Vinayak Nagar, Ulhasnagar - MPCB","20-04-2026 21:00:00",19.235581,73.159121,NO2,11,33,21
India,Maharashtra,Ulhasnagar,"Sidhi Vinayak Nagar, Ulhasnagar - MPCB","20-04-2026 21:00:00",19.235581,73.159121,OZONE,7,89,62
India,Maharashtra,Virar,"Bolinj, Virar - MPCB","20-04-2026 21:00:00",19.4458210,72.7988231,PM10,44,98,61
India,Maharashtra,Virar,"Bolinj, Virar - MPCB","20-04-2026 21:00:00",19.4458210,72.7988231,NH3,1,26,5
India,Maharashtra,Virar,"Bolinj, Virar - MPCB","20-04-2026 21:00:00",19.4458210,72.7988231,OZONE,3,43,33
India,Maharashtra,Pune,"Revenue Colony-Shivajinagar, Pune - IITM","20-04-2026 21:00:00",18.530085,73.849598,SO2,NA,NA,NA
India,Maharashtra,Pune,"Savitribai Phule Pune University, Pune - MPCB","20-04-2026 21:00:00",18.547056,73.826908,PM2.5,33,59,46
India,Maharashtra,Pune,"Savitribai Phule Pune University, Pune - MPCB","20-04-2026 21:00:00",18.547056,73.826908,CO,19,32,26
India,Maharashtra,Sangli,"Vijay Nagar, Sangli - MPCB","20-04-2026 21:00:00"," 16.5038",74.3623,SO2,NA,NA,NA
India,Maharashtra,Satara,"Koyana Nagar, Satara - MPCB","20-04-2026 21:00:00",17.696651,74.003387,PM10,NA,NA,NA
India,Maharashtra,Satara,"Koyana Nagar, Satara - MPCB","20-04-2026 21:00:00",17.696651,74.003387,NO2,NA,NA,NA
India,Maharashtra,Satara,"Koyana Nagar, Satara - MPCB","20-04-2026 21:00:00",17.696651,74.003387,CO,26,30,26
India,Maharashtra,Solapur,"Dnyaneshwar Nagar, Solapur - MPCB","20-04-2026 21:00:00",17.6336264,75.9132495,SO2,1,8,4
India,Maharashtra,Mumbai,"Sewri, Mumbai - BMC","20-04-2026 21:00:00",19.000084,72.856730,OZONE,7,31,20
